,company_comment,stars,time,title,user_review
16,"Hi Iain, thank you for your time today. I would like to confirm that the hotel reservation was cancelled free of charge and the refund has been processed back into the same card which was used to make the reservation. An email in regards to the refund receipt has also been sent through to your registered email address. I would like to apologise for the hassle and the run-around with our Customer Service Team. Your feedback has been duly noted and will be passed onto our Customer Service Team. Thanks, ^JY",3,2017-07-05T21:05:45.000+00:00,"
Appalling customer service
","We booked a cancelable hotel in good faith with Expedia unaware that they would take payment immediately from our credit card. Our hotel stay was to coincide with Adele performing at Wembley. Unfortunately at 7am on the morning of the 1st night of our stay we received an email (sent at 2am) notifying us that Adele had cancelled her concerts - 7 hours after the cancellation deadline.I called Expedia immediately and had a very helpful operator who tried to cancel our booking with the hotel but there was nobody with authority at the hotel to deal with it at that time in the morning. He suggested that the hotel would probably make an exception as we'd called so early or alternatively he would try to get them to change the dates of the booking for a future date. The reservations department opens at 9am so he promised to speak with them and call me back.At 10.30 having heard nothing more I called Expedia again as I needed to know what was happening with our booking. The lady I spoke with this time was not at all helpful just quoting the cancellation policy. I explained that I'd had an earlier conversation (which she confirmed on their system) and that she really needed to speak with the first guy I'd spoken with to ascertain what he had learned from the hotel. After ages of holding she returned to tell me she couldn't find out who I'd spoken with and reiterated the cancellation policy. I asked if I could cancel the 2nd night and just pay for the first night - yes, that should be fine. After more holding I was advised that I couldn't in fact do that. She then suggested we could look to move the booking so we looked at diaries, confirmed our new dates and went on hold again. After another long wait we were told that indeed we can't move our booking. At this stage we were losing patience and asked to speak with a supervisor. After another long wait we were told nobody was available at the moment. We insisted on holding further and eventually spoke with a supervisor who was worse than useless. After much arguing and holding he concluded that there was indeed nothing more we could do and we would lose our first night stay - this was after being on the 2nd call for more than 2 hours. During the final wait we decided to call the hotel directly who, upon hearing the appalling service we'd had from Expedia all morning, agreed to move the booking without penalty. We went back to the supervisor who made us hold for even longer whilst he confirmed this with the hotel and eventually, at about 12.45, concluded what was happening with our booking - more than 5 hours since my initial call to Expedia.I fully understand hotel cancellation policies but having been given multiple promises and offers that we're then withdrawn and being made to wait for over 5 hours to resolve the mattter is totally unacceptable - not only did we have the disappointment of the cancelled concert we wasted 1/2 day of our weekend on pointless conversations, most of which was listening to Expedia hold music. We don't intend to ever use Expedia for another holiday booking again.Updated - Itinerary Number 7272600820265Update - following my review above I received a very prompt response via TrustPilot and telephone within 12 hours offering to cancel the hotel booking and refund in full. It's disappointing that it took a poor review on TrustPilot to get this resolution but I am impressed with how quickly things moved today - everybody gets things wrong - it's how you fix them that count.Thank you Expedia."
17,"Hi Sarah, really sorry to hear about the experience you have had. We have a dedicated team who deals in such quires, you can write to them at bfscrd@support.expedia.co.uk. This is our Customer Relations Teams, as a full investigation has to be carried out, the review itself may involve a number of operational departments, and possibly third-party providers, therefore their response can take up to 10 days. One of their team members will be in touch when the investigation is complete. Thanks, ^L",1,2017-07-05T20:21:41.000+00:00,"
4th July All Inclusive Dinner Cruise - SCAM
","I booked a 4th of July all inclusive dinner cruise for my 40th birthday. Saved up and paid over ?650 for myself, my husband and 9 yr old  - a huge amount of money but I hoped it would be worth it. Unfortunately this was a SCAM from the company Attractions4US. The 2 members of ""staff"" on the dock had no idea what was going on and were no help at all.The boat that was sent for us (Queen of Hearts) fit 300 people in legally but they had over 440 people on board, it was a $30 a head booze cruise ferry with no tables or chairs, the food was sat boiling in the 90? heat in silver trays and music pumping so loud we couldn't hear ourselves be totally disgusted with what was delivered for so much money.Needless to say, amongst others, We got off before it departed - I really didn't want to spend over 5 hrs standing up, queuing at the bar and eating with my fingers - not for  ?650!!I have never been so disappointed in something I had been so looking forward to for years."
18,"Hi Peter, we're really sorry to hear about your recent experience and our apologies for the inconvenience caused. Please share the itinerary number so that we can investigate and assist you in providing a resolution. Kindly do not share your email address or contact number as this is a public forum. In case you have not got the itinerary number, we would request you to send an email to travel@support.expedia.co.uk. Post sending the email to this address you will receive an M - ###### case id, would request you to share that here to proceed further. Thanks ^RR",1,2017-07-05T18:30:52.000+00:00,"
AVOID THIS COMPANY
",AVOID THIS COMPANY! tried to book a hotel and flight package. Done all payment details and booked to be met with a message unable to confirm booking try later. Tried later same message. Had text from my bank of unusual activity. Random amounts had been processed through my account. Phoned customer service at 10p per minute and they confirmed random flight details nothing like what I had enter and I had taken screen shots. Promised call back and nothing happened. Now haven't a clue what they are doing.Reporting this company for misuse of Visa and will commence legal action.
19,"Hi Mark, thanks for taking out the time to appreciate our efforts. We're glad to hear your valuable feedback. ^RR",5,2017-07-05T14:19:40.000+00:00,"
Quick and competent customer service
",I was originally dismayed when i picked up a car from easirent in Glasgow booked via Expedia as Expedia cancelled the booking without informing me.I managed to contact their customer service team after about 2 minutes wait time. The person assissting me was very competent and asked to communicate directly with easirent staff and organised a different car for me. They then paid the full difference of rental price. Overall the customer service was very good and I am happy with the response and information i received.
20,"Hi, we're really sorry to hear about your disappointment with our services. This is definitely not the experience we would like you to have. I see that you were informed by our Facebook team for the same with a resolution and we will have to follow the same. Unfortunately, there is nothing much we can do here. Thanks ^RR",1,2017-07-05T11:36:49.000+00:00,"
Terrible customer service, promoting sccam companies
","Terrible customer service. If your ever decide to use their Facebook chat forget, they have people there whose job is send you directly to hotel/car rental/airline. All the company does is get your money by selling something they don't have and once problems happen they pretend it's not them. Book directly, times changed, they have lost all the good features they used to have some time ago.In my case I hired a car through one of the scam car rental places, (please have a look on guardian website about motion green and their scratches scaam) which is widely promoted on their website so they can sell clients with a big comission and then turn their back as soon as problems arrive."
21,"Hi Sarah, sorry if you feel this way. We don't offer any cash back deals, these offers are rolled by third parties and we do not have any control over them. We would request you to  please contact them for any cash back disputes. Thanks, ^L",1,2017-07-04T17:41:42.000+00:00,"
Scam.
","Scam.Declined cashback due to other referral. Totally unacceptable. I know what I am doing  when claiming cashback and this was done  deliberately by Expedia becauae of the amount of money involved.Extremely unfair and a big lie. Shouldn't treat paying customers so badly.The ""third party"" say expedia is at fault, expedia say the ""third party"" is to blame. So I am being passed back and forth. Really not helpful at all."
22,"Hi James, we are sorry to know about your recent experience with our Customer Support Team and apologies for any distress caused. We do understand your disappointment and definitely not the experience we would like you to have. We have seen your booking details on Facebook and we will further assist you via Facebook. Kindly give us some time to investigate and we will reach out to you soon. Thanks,^SS.",1,2017-07-04T09:47:54.000+00:00,"
I'd give Expedia 0 stars if I could
","I'd give Expedia 0 stars if I could. Don't trust the deals, don't book transfers and don't expect customer service. They'll mislead you through adverts, rip you off then refuse to refund you anything worthwhile for your inconvenience or being miss sold. We booked a supposed '5 Star Hotel and Spa' which was a 3 star at best and half the facilities were closed the entire holiday. One representative flat out lied to us and said he spoke to the hotel who confirmed the indoor pool had been closed 1 day (we went down to reception and confirmed it was still shut). Imagine booking a SPA HOTEL to be told the Sauna and Steam Room don't work or have to be heated up 2 hours in advance! Everything was too much hassle. Then, the cheeky sods tried to pie us off with a spa voucher the evening before we flew home, as if that would compensate us. We paid for shuttle transfers that never arrived, had to spend an entire evening trying to confirm our shuttles would be there to pick us up the night before we were up at 3AM to get flight and a good day of the holiday trying to sort the mess with Expedia who refused resolutely to offer us any kind of satisfactory refund. Use Holiday Pirates instead or a competing service. They will absolutely ruin your holiday experience. I've raised several complaints and discussed it with them and they've just stopped responding because I didn't expect their pathetic offer of compensation telling me it had been 'escalated to the highest possible point' when it was clearly just a customer service representative or team lead. All we asked for was a decent refund or voucher for future holidays but that was too much apparently. Absolutely awful company, DO NOT USE."
23,"Hi Denis, thanks for your time and I am glad to assist you in sorting out your concern. Thanks,^SS.",1,2017-06-30T17:51:14.000+00:00,"
Expedia is a faceless greedy ?
","Expedia is a faceless greedy corporation that cares not for its clients. Our recent trip was the last time we used it. First, we were told by Expedia that part of our package we've paid would cost three time more that was advertised. It took me three one-hour calls to convince the beast to deliver that part of package for the price we paid. It was just criminal of them to ask for more money after we've paid for the service. When we arrived to the destination, the service provider (contractor to Expedia) told us that they cancelled the booking with them (yet charged us full bill). We had to pay twice. 15 days later still waiting for Expedia's refund. 7265882980405UPDATE 1: Guys. can you believe this? After I posted this, a guy from Expedia called me today saying that they'd refund half for the service that was not provided at all. Can you bloody believe that? Please, at all means avoid this scam, never book with them if at all possible!UPDATE 2: OK, some days/calls/emails later my case was escalated to Expedia's concerns team, which was the ""actual Expedia"". All people I called before on the phone on Expedia's website were subcontractors with limited decision power. I had a couple of calls with the gentleman from the concern team and eventually received the refund. Now, think if you would like to spend hours calling and writing to expedia for a simple refund or you would rather book with someone else in the first place. I've definitely made up my mind."
24,"Hi Mayleena, we tried calling you on the number registered with us but call reached on voicemail. However, we have shared the resolution via email. We would appreciate your understanding in this matter. Thanks, ^MK.",1,2017-06-30T16:42:16.000+00:00,"
My experience with Expedia has been the ?
","My experience with Expedia has been the worst I've ever had. All my flights were changed. No help was given to return me back home the same day I had booked. I was put on hold for a total of 4 hours over 3 days. Without compensation, I would never use them or recommend anyone to use them in the future. I have subsequently heard they pulled a similar stunt on a friend and cost her an extra 1,000 GBP. My itinerary number is 7247246939263 and to be fair I would forgive the company if they compensated me for the cancelled and changed returned flight."
25,"Hi Vajubhai, we are sorry to know that you have to cancel your car booking because of the experience you had while picking up the car and deeply regret the inconvenience caused. Please share the itinerary number so that we can investigate and assist you in providing a resolution. Kindly do not share your email address or contact number as this is a public forum. Thanks, ^SS.",1,2017-06-28T16:33:02.000+00:00,"
Europcar at London Heathrow Airport.
","Europcar at London Heathrow Airport.I had booked a car with the named company from Los Angeles back in early April for June 27th. The price quotes and confirmed in writing by Expedia was close to $ 375. I landed at Heathrow June 27th. and went to Europcar to pick up car. The price jumped from $ 375 to close to $ 860. and on top of that I was asked to pay $ 320 insurance. I had already paid Expedia $ 220 towards insurance back in April.It left me no choice but to cancel everything and catch a taxi to my relative and ended up paying 60 pounds.This hThis kind of treatment has been experience by many with this company I have heard and one should not have to go thru this kind of treatment, especially when one has to spend 11 hours in a plane."
26,"Hi Alireza, sorry about that, we understand that this causes inconvenience but this happens to secure the customers account. To secure your booking we will recommend you to please contact our Sales Support on +44 03301231235. Thanks, ^L",1,2017-06-28T08:26:14.000+00:00,"
Highly incompetent!!
","A few hours after booking my plane tickets over the phone, I received an email to say that they've been cancelled for one of the following reasons:? We were unable to authenticate the credit card.? We were unable to authenticate the card holder.? The purchase was declined by the credit card company.? The delivery address is not within the United Kingdom.? Account history.None of them actually applied!! After several calls and emails, I still don't know why the tickets were cancelled and the state of refund is unclear. Complete waste of time and a highly incompetent company!"
27,"Hi there, thanks for sharing the case ID. We always strive to deliver the best service to our customers and apologies if you have not been satisfied with your experience. Please advise whether you have contacted the bank about the pending transaction. Is the pending amount got released into your account? If not, kindly share the details requested by Amit on 27th June'17 along with the current bank statement via email. The details are as follows:1. Name on the cards2. Bank's name3. Amount of the transaction4. Date of transaction5. Authorization code(from your bank)Thanks,^SS.",1,2017-06-26T22:11:23.000+00:00,"
COULDNT BOOK FLIGHT/HOTEL
","Is there any point in me adding to the bad reviews here!!! They must be so used to it I doubt they care, but here we we go anyway.Spent all day trying to book a flight and hotel package but kept getting message:""SorryWe weren't able to complete your booking. Please wait a moment and try again""So I do so 5 times and still same error. However, my card was billed ?962 5 times, which wasnt even the value of the holiday anyway! Had to take a screen shot of my statement and email it in so their accounts team could cancel all the transactions so my card was not maxed out.Customer service said it was a Ryan Air problem on the flight part of the package. What all day? I dont think so, I think you are a useless company with a useless website. Why ask me to try again and charge my credit card 5 times!!!???Every Tripadvisor review I write from now on,  I start with ***DO NOT BOOK WITH EXPEDIA***  Already started to do this over a different issue I had recently.I encourage everyone else to do the same as people should be warned about these time wasters. Perhaps they will start to do something instead of saying sorry.EDIT REPLY TO EXPEDIA:Case ID : [REQ:M-17518769]I've reluctantly booked with Hotels.com knowing that this is your sister company and booked flights direct with Ryan Air, no issues with their website. Had to pay roughly ?200 more which is frustrating when the cheaper price has been planted into your head beforehand."
28,"Hi Jay, that's not good to hear, sorry for stress caused due to the unexpected charge by Fizzr. If you don't mind, kindly share the itinerary number for us to investigate and please do not share your email address or contact number as this is a public forum. Thanks, ^SS.",1,2017-06-26T19:59:39.000+00:00,"
Rented a car through Expedia
","Rented a car through Expedia. The rental company, flizzr, tried to invoice me for some frivolous made up charge, and instead of checking the terms and conditions, Expedia decided to just side with flizzr. So Expedia agreed that flizzr could charge me for something that wasn't on Expedia's or flizzr's website. (Read my review on flizzr for details)No repeat business from me Expedia. You deserve no such attention."
29,"Hi Andy, we have responded to your complaint under the case id M-17379691. Thanks, ^PT.",1,2017-06-26T15:42:59.000+00:00,"
I am so disappointed with Expedia!!
","I am so disappointed with Expedia!!In case anyone from Expedia actually reads this my case ID : [REQ:M-17379691]I recently ran a search on their app for flights to Barcelona, I booked the best one I could see and then found the flights was actually to Reus which is miles away from BCN.When I complained this was part of their reply:We understand that you are happy with the recent booking you have made with Expedia. We have reviewed the details and found that the result page display all the flights to Barcelona not Reus.We are sorry as we are unable to accept any responsibility in this case as we found no website error.Regards,Sushant(They meant unhappy btw - English clearly is a struggle for these people!) So I redid the search and replied showing them that if you search BCN flights you also got offered flights to Reus.COME ON EXPEDIA! This is totally unacceptable customer service in this day and age.Where are you Customer Service Director - you need to get your act together!!! Look how many bad reviews you are getting!"
30,"Hi Celine, thanks for sharing the case ID. We apologise for the payment issues that occurred with your credit card. We do understand that you had disappointing experience with our Customer Support Team. Knowing that you feel upset and stressed is the last thing we want to happen. Please kindly give us some time to look into this and we will reach out to you soon. Thanks,^SS.",1,2017-06-25T16:17:16.000+00:00,"
Expedia - you suck!
","Very disappointed with Expedia. I just tried booking a flight + hotel. Payment struggled to get through. My credit card company rang to check I had authorised payment, and confirmed that some money (?500) had been taken from account for the hotel part of the booking. However I have received no email confirming this.I rang Expedia demanding an explanation - took an hour and got passed around different advisers. While I'm not fussed about the flight part of booking not happening, I have no confirmation about the hotel booking despite money having been taken off me. That is why I wanted to speak to Expedia. Their adviser were useless, tried to fob me off, I kept explaining the situation to them, but they were simply of no help. One of them told me to get some authorisation code from th bank but bank says this isn't allowed. I'm wondering what other lies Expedia has been, will be telling me.I am now waiting to see if I get my money back, and if Expedia will honour my booking at the price I was looking to book just only 2 hours ago. If I dont get my money back, I will go to the police. Enough of crap service and lies. What Expedia should have done instead of leaving a customer in a lurch with partial payment with no confirmation email - is to take money only when all parties to a booking have approved their respective parts of the payment. I'm waiting to see what happens, but I will certainly not hesitate to go to the police.As you requested here is my case ID: S-142934212. How do I know you will even refund me th money ? I want to rebook the hotel via another route but worry you will cheat me and refuse to refund me given all the nasty comments from other users."
